Back to Contents,Data 1: Retail
Sourcekey,EMM_EPMR_PTE_NUS_DPG
Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
1994-02-28 00:00:00,1.004
1994-03-07 00:00:00,1.007
1994-03-14 00:00:00,1.005
1994-03-21 00:00:00,1.007
1994-03-28 00:00:00,1.012
1994-04-04 00:00:00,1.011
1994-04-11 00:00:00,1.028
1994-04-18 00:00:00,1.033
1994-04-25 00:00:00,1.037
1994-05-02 00:00:00,1.04
1994-05-09 00:00:00,1.045
1994-05-16 00:00:00,1.046
1994-05-23 00:00:00,1.05
1994-05-30 00:00:00,1.056
1994-06-06 00:00:00,1.065
1994-06-13 00:00:00,1.073
1994-06-20 00:00:00,1.079
1994-06-27 00:00:00,1.095
1994-07-04 00:00:00,1.097
1994-07-11 00:00:00,1.103
1994-07-18 00:00:00,1.109
1994-07-25 00:00:00,1.114
1994-08-01 00:00:00,1.13
1994-08-08 00:00:00,1.157
1994-08-15 00:00:00,1.161
1994-08-22 00:00:00,1.165
1994-08-29 00:00:00,1.161
1994-09-05 00:00:00,1.156
1994-09-12 00:00:00,1.15
1994-09-19 00:00:00,1.14
1994-09-26 00:00:00,1.129
1994-10-03 00:00:00,1.12
1994-10-10 00:00:00,1.114
1994-10-17 00:00:00,1.106
1994-10-24 00:00:00,1.107
1994-10-31 00:00:00,1.121
1994-11-07 00:00:00,1.123
1994-11-14 00:00:00,1.122
1994-11-21 00:00:00,1.113
1994-11-28 00:00:00,1.105
1994-12-05 00:00:00,1.103
1994-12-12 00:00:00,1.095
1994-12-19 00:00:00,1.087
1994-12-26 00:00:00,1.077
1995-01-02 00:00:00,1.079
1995-01-09 00:00:00,1.086
1995-01-16 00:00:00,1.078
1995-01-23 00:00:00,1.083
1995-01-30 00:00:00,1.083
1995-02-06 00:00:00,1.076
1995-02-13 00:00:00,1.074
1995-02-20 00:00:00,1.067
1995-02-27 00:00:00,1.073
1995-03-06 00:00:00,1.076
1995-03-13 00:00:00,1.069
1995-03-20 00:00:00,1.068
1995-03-27 00:00:00,1.075
1995-04-03 00:00:00,1.087
1995-04-10 00:00:00,1.103
1995-04-17 00:00:00,1.117
1995-04-24 00:00:00,1.138
1995-05-01 00:00:00,1.148
1995-05-08 00:00:00,1.169
1995-05-15 00:00:00,1.179
1995-05-22 00:00:00,1.197
1995-05-29 00:00:00,1.199
1995-06-05 00:00:00,1.199
1995-06-12 00:00:00,1.196
1995-06-19 00:00:00,1.189
1995-06-26 00:00:00,1.182
1995-07-03 00:00:00,1.175
1995-07-10 00:00:00,1.165
1995-07-17 00:00:00,1.153
1995-07-24 00:00:00,1.144
1995-07-31 00:00:00,1.132
1995-08-07 00:00:00,1.127
1995-08-14 00:00:00,1.125
1995-08-21 00:00:00,1.124
1995-08-28 00:00:00,1.117
1995-09-04 00:00:00,1.113
1995-09-11 00:00:00,1.111
1995-09-18 00:00:00,1.11
1995-09-25 00:00:00,1.109
1995-10-02 00:00:00,1.105
1995-10-09 00:00:00,1.097
1995-10-16 00:00:00,1.087
1995-10-23 00:00:00,1.079
1995-10-30 00:00:00,1.068
1995-11-06 00:00:00,1.065
1995-11-13 00:00:00,1.063
1995-11-20 00:00:00,1.06
1995-11-27 00:00:00,1.061
1995-12-04 00:00:00,1.062
1995-12-11 00:00:00,1.063
1995-12-18 00:00:00,1.078
1995-12-25 00:00:00,1.082
1996-01-01 00:00:00,1.083
1996-01-08 00:00:00,1.093
1996-01-15 00:00:00,1.098
1996-01-22 00:00:00,1.091
1996-01-29 00:00:00,1.087
1996-02-05 00:00:00,1.083
1996-02-12 00:00:00,1.08
1996-02-19 00:00:00,1.087
1996-02-26 00:00:00,1.107
1996-03-04 00:00:00,1.124
1996-03-11 00:00:00,1.125
1996-03-18 00:00:00,1.135
1996-03-25 00:00:00,1.164
1996-04-01 00:00:00,1.178
1996-04-08 00:00:00,1.204
1996-04-15 00:00:00,1.242
1996-04-22 00:00:00,1.256
1996-04-29 00:00:00,1.273
1996-05-06 00:00:00,1.275
1996-05-13 00:00:00,1.277
1996-05-20 00:00:00,1.285
1996-05-27 00:00:00,1.275
1996-06-03 00:00:00,1.269
1996-06-10 00:00:00,1.262
1996-06-17 00:00:00,1.258
1996-06-24 00:00:00,1.245
1996-07-01 00:00:00,1.234
1996-07-08 00:00:00,1.231
1996-07-15 00:00:00,1.228
1996-07-22 00:00:00,1.227
1996-07-29 00:00:00,1.218
1996-08-05 00:00:00,1.207
1996-08-12 00:00:00,1.203
1996-08-19 00:00:00,1.205
1996-08-26 00:00:00,1.209
1996-09-02 00:00:00,1.197
1996-09-09 00:00:00,1.203
1996-09-16 00:00:00,1.206
1996-09-23 00:00:00,1.206
1996-09-30 00:00:00,1.2
1996-10-07 00:00:00,1.194
1996-10-14 00:00:00,1.203
1996-10-21 00:00:00,1.204
1996-10-28 00:00:00,1.215
1996-11-04 00:00:00,1.223
1996-11-11 00:00:00,1.226
1996-11-18 00:00:00,1.236
1996-11-25 00:00:00,1.244
1996-12-02 00:00:00,1.241
1996-12-09 00:00:00,1.241
1996-12-16 00:00:00,1.236
1996-12-23 00:00:00,1.231
1996-12-30 00:00:00,1.227
1997-01-06 00:00:00,1.225
1997-01-13 00:00:00,1.241
1997-01-20 00:00:00,1.241
1997-01-27 00:00:00,1.238
1997-02-03 00:00:00,1.236
1997-02-10 00:00:00,1.234
1997-02-17 00:00:00,1.227
1997-02-24 00:00:00,1.223
1997-03-03 00:00:00,1.215
1997-03-10 00:00:00,1.206
1997-03-17 00:00:00,1.2
1997-03-24 00:00:00,1.204
1997-03-31 00:00:00,1.2
1997-04-07 00:00:00,1.203
1997-04-14 00:00:00,1.199
1997-04-21 00:00:00,1.199
1997-04-28 00:00:00,1.195
1997-05-05 00:00:00,1.193
1997-05-12 00:00:00,1.193
1997-05-19 00:00:00,1.203
1997-05-26 00:00:00,1.212
1997-06-02 00:00:00,1.215
1997-06-09 00:00:00,1.207
1997-06-16 00:00:00,1.198
1997-06-23 00:00:00,1.187
1997-06-30 00:00:00,1.181
1997-07-07 00:00:00,1.177
1997-07-14 00:00:00,1.173
1997-07-21 00:00:00,1.177
1997-07-28 00:00:00,1.17
1997-08-04 00:00:00,1.193
1997-08-11 00:00:00,1.228
1997-08-18 00:00:00,1.229
1997-08-25 00:00:00,1.244
1997-09-01 00:00:00,1.243
1997-09-08 00:00:00,1.243
1997-09-15 00:00:00,1.236
1997-09-22 00:00:00,1.225
1997-09-29 00:00:00,1.21
1997-10-06 00:00:00,1.209
1997-10-13 00:00:00,1.203
1997-10-20 00:00:00,1.193
1997-10-27 00:00:00,1.182
1997-11-03 00:00:00,1.176
1997-11-10 00:00:00,1.177
1997-11-17 00:00:00,1.168
1997-11-24 00:00:00,1.162
1997-12-01 00:00:00,1.152
1997-12-08 00:00:00,1.141
1997-12-15 00:00:00,1.131
1997-12-22 00:00:00,1.121
1997-12-29 00:00:00,1.112
1998-01-05 00:00:00,1.102
1998-01-12 00:00:00,1.094
1998-01-19 00:00:00,1.083
1998-01-26 00:00:00,1.066
1998-02-02 00:00:00,1.061
1998-02-09 00:00:00,1.053
1998-02-16 00:00:00,1.038
1998-02-23 00:00:00,1.044
1998-03-02 00:00:00,1.028
1998-03-09 00:00:00,1.018
1998-03-16 00:00:00,1.008
1998-03-23 00:00:00,1
1998-03-30 00:00:00,1.03
1998-04-06 00:00:00,1.028
1998-04-13 00:00:00,1.025
1998-04-20 00:00:00,1.028
1998-04-27 00:00:00,1.04
1998-05-04 00:00:00,1.049
1998-05-11 00:00:00,1.063
1998-05-18 00:00:00,1.072
1998-05-25 00:00:00,1.07
1998-06-01 00:00:00,1.066
1998-06-08 00:00:00,1.075
1998-06-15 00:00:00,1.066
1998-06-22 00:00:00,1.058
1998-06-29 00:00:00,1.057
1998-07-06 00:00:00,1.058
1998-07-13 00:00:00,1.054
1998-07-20 00:00:00,1.059
1998-07-27 00:00:00,1.05
1998-08-03 00:00:00,1.039
1998-08-10 00:00:00,1.033
1998-08-17 00:00:00,1.026
1998-08-24 00:00:00,1.019
1998-08-31 00:00:00,1.013
1998-09-07 00:00:00,1.007
1998-09-14 00:00:00,1.002
1998-09-21 00:00:00,1.014
1998-09-28 00:00:00,1.014
1998-10-05 00:00:00,1.019
1998-10-12 00:00:00,1.022
1998-10-19 00:00:00,1.019
1998-10-26 00:00:00,1.015
1998-11-02 00:00:00,1.01
1998-11-09 00:00:00,1.008
1998-11-16 00:00:00,0.996
1998-11-23 00:00:00,0.989
